名稱,郵遞區號,地址,相對位置,營業時間,座標x,座標y,儲格數,櫃型,備註,付費方式
臺北開封街ｉ郵箱,10000,臺北市中正區開封街1段45號,開封街自助郵局內,24小時,121.512421,25.046130,180,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北南陽郵局ｉ郵箱,10000,臺北市中正區信陽街8號,南陽街與信陽街轉角騎樓下,24小時,121.515870,25.044520,80,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北東門郵局ｉ郵箱,10000,臺北市中正區信義路2段163號,ATM自助服務區,24小時,121.528921,25.034074,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北大安郵局ｉ郵箱,10600,臺北市大安區信義路3段89號,自助服務區,24小時,121.538299,25.033747,33,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北青田郵局ｉ郵箱,10600,臺北市大安區和平東路1段155號,ATM自助服務區內,24小時,121.531140,25.026659,73,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北敦南郵局ｉ郵箱,10600,臺北市大安區忠孝東路4段170巷9號,側門入口內左側,24小時,121.550885,25.040620,60,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
士林郵局ｉ郵箱,11100,臺北市士林區文林路162號,ATM自助服務區內,24小時,121.527080,25.089260,100,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
內湖郵局ｉ郵箱,11400,臺北市內湖區民權東路6段83號,ATM自助服務區內,24小時,121.588045,25.069294,66,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北莒光郵局ｉ郵箱,10800,臺北市萬華區莒光路210號,ATM自助服務區內,24小時,121.501125,25.031393,56,二代櫃,,郵政金融卡/悠遊卡/一卡通/愛金卡
臺北成功郵局ｉ郵箱,10600,臺北市大安區四維路198巷38弄12號,大門右側,24小時,121.545740,25.026400,82,二代櫃,,郵政金融卡/悠遊卡/一卡通/愛金卡
臺北杭南郵局ｉ郵箱,10000,臺北市中正區杭州南路1段23號之3,ATM自助服務區內,24小時,121.526535,25.042230,108,二代櫃,,郵政金融卡/悠遊卡/一卡通/愛金卡
臺北民生郵局ｉ郵箱,10500,臺北市松山區民生東路5段191號,郵局外側騎樓下,24小時,121.565365,25.059265,108,二代櫃,,郵政金融卡/悠遊卡/一卡通/愛金卡
臺北金南郵局ｉ郵箱,10600,臺北市大安區愛國東路216號,ATM自助服務區內,24小時,121.524568,25.031816,56,二代櫃,,郵政金融卡/悠遊卡/一卡通/愛金卡
士林劍潭郵局ｉ郵箱,11100,臺北市士林區基河路14號,ATM自助服務區,24小時,121.523912,25.081770,56,二代櫃,,郵政金融卡/悠遊卡/一卡通/愛金卡
北投光明路181號ｉ郵箱,11200,臺北市北投區光明路181號,大門右側,24小時,121.503138,25.135774,56,二代櫃,,郵政金融卡/悠遊卡/一卡通/愛金卡
內湖西湖郵局ｉ郵箱,11400,臺北市內湖區內湖路1段331號,大門內右側,24小時,121.568220,25.082328,56,二代櫃,,郵政金融卡/悠遊卡/一卡通/愛金卡
